FIPS_N,Issuer,Tax_Supported_Debt,Revenue_Supported_Debt,Lease_Purchase_Obligations,Total_Debt_Outstanding, County_Population ,Debt_per_capita,Total_Debt_Outstanding_per_capitastr,Link,Text_for_link
48105,Crockett,$0,$0,$0,$0," 3,743 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48107,Crosby,$0,$0,$0,$0," 6,126 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48109,Culberson,$0,$0,$0,$0," 2,290 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48111,Dallam,$0,$0,$0,$0," 6,996 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48113,Dallas,"$121,605,000",$0,$0,"$121,605,000"," 2,453,843 ",50,$50,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Dallas+County&countysubmit=GO,View Debt Profile
48115,Dawson,$0,$0,$0,$0," 13,640 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48117,Deaf Smith,$0,$0,$0,$0," 19,360 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48119,Delta,$0,$0,"$330,000","$330,000"," 5,329 ",62,$62,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48121,Denton,"$553,915,000",$0,$0,"$553,915,000"," 707,304 ",783,$783,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Denton+County&countysubmit=GO,View Debt Profile
48123,DeWitt,"$10,945,000",$0,$0,"$10,945,000"," 20,465 ",535,$535,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48125,Dickens,$0,$0,"$9,420,000","$9,420,000"," 2,323 ",4055,"$4,055",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48127,Dimmit,"$9,385,000",$0,$0,"$9,385,000"," 10,461 ",897,$897,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48129,Donley,"$100,000",$0,$0,"$100,000"," 3,598 ",28,$28,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48131,Duval,"$1,836,000",$0,$0,"$1,836,000"," 11,717 ",157,$157,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48133,Eastland,$0,$0,$0,$0," 18,421 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48135,Ector,"$7,830,000",$0,$0,"$7,830,000"," 144,325 ",54,$54,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Ector+County&countysubmit=GO,View Debt Profile
48137,Edwards,"$1,244,000",$0,$0,"$1,244,000"," 1,968 ",632,$632,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48141,El Paso,"$234,570,000","$1,266,000",$0,"$235,836,000"," 827,398 ",285,$285,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=El+Paso+County&countysubmit=GO,View Debt Profile
48139,Ellis,"$56,541,262",$0,$0,"$56,541,262"," 153,969 ",367,$367,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Ellis+County&countysubmit=GO,View Debt Profile
48143,Erath,"$6,066,000",$0,$0,"$6,066,000"," 39,321 ",154,$154,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Erath+County&countysubmit=GO,View Debt Profile
48145,Falls,"$1,690,000",$0,$0,"$1,690,000"," 17,610 ",96,$96,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48147,Fannin,"$1,435,000",$0,"$29,760,000","$31,195,000"," 33,831 ",922,$922,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?countyname=Fannin+County&countysubmit=GO,View Debt Profile
48149,Fayette,"$1,442,000",$0,$0,"$1,442,000"," 24,695 ",58,$58,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48151,Fisher,$0,$0,$0,$0," 3,844 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48153,Floyd,$0,$0,$0,$0," 6,367 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48155,Foard,$0,$0,$0,$0," 1,307 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48157,Fort Bend,"$477,225,000","$30,775,000",$0,"$508,000,000"," 627,293 ",810,$810,http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Fort+Bend+County&countysubmit=GO,View Debt Profile
48159,Franklin,"$547,084",$0,$0,"$547,084"," 10,640 ",51,$51,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48161,Freestone,$0,$0,$0,$0," 19,515 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48163,Frio,"$2,000,000",$0,"$22,370,000","$24,370,000"," 17,702 ",1377,"$1,377",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48165,Gaines,$0,$0,$0,$0," 18,413 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48167,Galveston,"$319,793,434",$0,$0,"$319,793,434"," 300,484 ",1064,"$1,064",http://www.texastransparency.org/Special_Features/Debt_at_a_Glance/County.php?Countyname=Galveston+County&countysubmit=GO,View Debt Profile
48169,Garza,"$8,195,000",$0,"$35,890,000","$44,085,000"," 6,412 ",6875,"$6,875",http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48171,Gillespie,"$1,415,000",$0,$0,"$1,415,000"," 25,153 ",56,$56,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48173,Glasscock,$0,$0,$0,$0," 1,259 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
48175,Goliad,$0,$0,$0,$0," 7,351 ",0,$0,http://www.brb.state.tx.us/lgs/lgsdbsearch.aspx,Search the Bond Review Board's local government database.
